"code","동","구","집세","청년남자비율","청년여자비율","범죄안전","교통안전","편의시설","쇼핑시설","외식시설","대중교통","체육시설"
1124066,"가락1동","송파구",56.9771910407954,47.0707713669611,31.1785385732888,247.378537825137,312.604715993664,103.841505561034,44.8424087550711,35.4743007975175,68.1603647015657,33.7789872083464
1124067,"가락2동","송파구",57.4854026604533,43.0831943548401,47.2410504257434,47.7929103671075,43.9760909290037,65.7843962827177,45.003358095459,44.8489042615763,68.1603647015657,48.0065281278126
1124065,"가락본동","송파구",55.9308061334442,56.4341529986759,54.7476199309165,48.1356228987788,46.6169543291675,65.9177428464114,47.5785475416647,63.3074258109634,68.1603647015657,73.2676722093138
1117070,"가리봉동","구로구",39.4821130164662,36.1243853287242,19.9982451671811,52.7172388387537,49.0465486573182,66.8511687922709,47.9004462224404,48.4824714957076,30.4152929688998,51.7811818411403
1118051,"가산동","금천구",33.8420962561803,104.663696536417,69.9116037293941,45.2972492867689,57.0747733938161,54.8766473725346,69.4676578344136,94.4107613351276,49.2878288352327,94.1734466215906
1116064,"가양1동","강서구",68.4458039627349,64.9683522033512,72.5101387544033,45.4757510627896,45.7718780411151,66.8511687922709,53.2117744552398,81.9839613943985,77.5966326347321,64.5569328708651
1116065,"가양2동","강서구",58.8745371147304,55.5904553785083,50.644990474284,49.8664489304856,50.5254321614099,54.2099145540637,39.5310805222717,35.9830002102958,49.2878288352327,38.424714855519
1116066,"가양3동","강서구",56.5140720980974,60.899899783449,54.9338522366219,50.3102108081314,50.1028940173837,123.550127675032,39.8529792030475,34.5295733166433,49.2878288352327,36.1018510319327
1101060,"가회동","종로구",41.1520264348679,33.6189461094343,45.2034405015703,67.650892941642,83.4834073954541,86.1597512151866,43.3938646915804,47.6104153595161,30.4152929688998,55.2654775765198
1112055,"갈현1동","은평구",48.8150089185955,47.9558338148147,43.1014073279546,46.6838822766753,45.4549744330955,67.7845947381298,50.7975343494219,58.4384457172274,39.8515609020663,58.459415333951
1112056,"갈현2동","은평구",48.8150089185955,47.0847650196805,46.086746736851,46.1460904012398,44.2929945370234,55.5433801910049,55.4650652206698,56.8396761342097,39.8515609020663,54.1040456647266
1125051,"강일동","강동구",33.0323844736915,29.8497958708231,37.6511538323935,46.5990871226865,44.39862907303,65.9177428464114,40.335827224211,36.92772769117,39.8515609020663,38.7150728334673
1117072,"개봉1동","구로구",63.8158901280385,43.7329917296917,40.9948548605442,46.4244566571605,43.3422837129644,64.9843169005524,49.1880409455433,50.5899404915038,39.8515609020663,51.490823863192
1117064,"개봉2동","구로구",63.7707646360581,47.6818687063844,46.70557829132,46.8829036751905,43.6591873209841,54.4766076814517,43.7157633723561,41.8693791295886,39.8515609020663,42.1993685688468
1117065,"개봉3동","구로구",63.8158901280385,47.5800897618677,42.3140094526752,49.2421277063081,46.7225888651741,67.1178619196589,41.7843712877018,38.671839963553,39.8515609020663,39.5861467673122
1123068,"개포1동","강남구",81.89362655234,50.4062355246498,45.8013537371045,60.5679287755402,47.1451270092003,77.758917702454,38.2434857991689,32.2767616314819,49.2878288352327,34.6500611421912
1123080,"개포2동","강남구",81.89362655234,45.6868643354689,45.9931453966068,61.60632910126,50.3141630893968,79.0923833393958,42.5891179896411,42.2327358530017,77.5966326347321,43.3608004806399
1123071,"개포4동","강남구",82.1625894873714,55.1535818223974,50.66315571161,54.3237017883001,50.3141630893968,71.1182588304844,43.7157633723561,45.284932329672,49.2878288352327,46.2643802601228
1124053,"거여1동","송파구",67.095149650854,44.7329906699206,34.5509980866796,55.6236774729265,53.2719300975803,108.241942162941,40.335827224211,38.1631405507746,39.8515609020663,40.7475786791053
1124054,"거여2동","송파구",67.095149650854,43.092958797457,37.0609575456584,51.9154836779022,49.2578177293313,100.801203908807,40.1748778838232,36.7823850018047,39.8515609020663,40.7475786791053
1125055,"고덕1동","강동구",51.9046396749221,44.2285162218315,38.6993058684629,47.6964810162378,44.6098981450431,67.3845550470475,41.3015232665382,38.090469206092,39.8515609020663,37.2632829437259
1125056,"고덕2동","강동구",43.1070470247685,41.6807764312993,23.4696786573777,56.9153367900807,63.2015764821961,65.251010027941,41.9453206280896,37.3637557592657,39.8515609020663,37.2632829437259
1117061,"고척1동","구로구",43.3297021593432,45.6679710095653,39.5257194275727,48.6106403155331,46.1944161851413,58.4770045922771,43.3938646915804,50.735283180869,30.4152929688998,52.9426137529335
1117062,"고척2동","구로구",47.8920791333131,41.4492574669813,40.4321494332537,47.3347714949354,44.2929945370234,90.4001719406612,49.9927876474826,42.0147218189538,30.4152929688998,42.7800845247434
1114077,"공덕동","마포구",48.5416932279739,51.8631551506649,57.0111583701341,45.6500985211294,43.3422837129644,66.5844756648823,45.003358095459,42.5960925764149,68.1603647015657,45.1029483483297
1111079,"공릉1동","노원구",29.846162877292,58.5420784469767,56.1810471680484,44.8607473712694,43.0253801049448,54.7433008088403,56.7526599437727,61.4179708492151,77.5966326347321,58.1690573560027
1111056,"공릉2동","노원구",29.8284442881596,46.4323342450112,45.083583390147,45.2112460009191,43.6591873209841,67.2512084833532,46.9347501801133,54.0054936915872,77.5966326347321,61.0726371354856
1116069,"공항동","강서구",43.0977668636337,61.6491856271237,55.1787753369236,47.051911405189,47.4620306172199,66.9845153559652,47.256648860889,50.153912423408,77.5966326347321,50.9101079072955
1105063,"광장동","광진구",48.9721087915375,21.6670727837335,32.967594051284,47.1645511044332,43.8704563929972,57.6769252101119,53.3727237956277,52.9154235213478,49.2878288352327,59.3304892677959
