"","행정동","자치구","전체세대수","X1인세대","code","X1인세대밀도"
"307","월계2동","노원구",11264,3636,1111052,0.322798295454545
"308","월계3동","노원구",13001,3466,1111053,0.266594877317129
"309","월곡1동","성북구",10749,3077,1108071,0.286259186901107
"310","월곡2동","성북구",8855,3606,1108072,0.407227555053642
"311","위례동","송파구",9086,1065,1124082,0.117213295179397
"312","은천동","관악구",15426,5990,1121078,0.388305458317127
"313","을지로동","중구",1182,926,1102060,0.7834179357022
"314","응봉동","성동구",6255,1651,1104058,0.263948840927258
"315","응암1동","은평구",11199,4411,1112059,0.393874453076168
"316","응암2동","은평구",8386,2432,1112060,0.290007154781779
"317","응암3동","은평구",12435,5511,1112073,0.443184559710495
"318","이문1동","동대문구",14321,7985,1106089,0.557572795195866
"319","이문2동","동대문구",8696,2755,1106090,0.3168123275069
"320","이촌1동","용산구",10127,2189,1103063,0.216154833613113
"321","이촌2동","용산구",3857,1251,1103064,0.324345346123931
"322","이태원1동","용산구",3869,2249,1103065,0.581287154303438
"323","이태원2동","용산구",4906,2571,1103066,0.524052181002854
"324","이화동","종로구",4487,2639,1101064,0.58814352574103
"325","인수동","강북구",14291,5247,1109075,0.367154152963404
"326","인헌동","관악구",13844,7209,1121062,0.520731002600405
"327","일원1동","강남구",7581,2996,1123073,0.395198522622345
"328","일원2동","강남구",6484,1972,1123074,0.304133251079581
"329","일원본동","강남구",8309,1528,1123072,0.183896979179203
"330","자양1동","광진구",11340,5344,1105064,0.471252204585538
"331","자양2동","광진구",11269,3818,1105065,0.338805572810365
"332","자양3동","광진구",11058,2730,1105066,0.246880086814976
"333","자양4동","광진구",10194,5228,1105067,0.51285069648813
"334","잠실2동","송파구",12046,1888,1124079,0.156732525319608
"335","잠실3동","송파구",12415,2068,1124080,0.166572694321385
"336","잠실4동","송파구",10419,1757,1124075,0.168634225933391
"337","잠실6동","송파구",5907,959,1124077,0.162349754528525
"338","잠실7동","송파구",3486,491,1124078,0.140849110728629
"339","잠실본동","송파구",14459,7233,1124071,0.500242063766512
"340","잠원동","서초구",13896,4573,1122055,0.329087507196315
"341","장안1동","동대문구",17093,6830,1106087,0.399578774937109
"342","장안2동","동대문구",12559,4148,1106088,0.330281073333864
"343","장위1동","성북구",8949,3186,1108076,0.35601743211532
"344","장위2동","성북구",7369,2771,1108077,0.376034740127561
"345","장위3동","성북구",4886,1722,1108078,0.35243553008596
"346","장지동","송파구",13388,3565,1124081,0.266283238721243
"347","장충동","중구",2670,1616,1102058,0.605243445692884
"348","전농1동","동대문구",14004,6623,1106083,0.472936303913168
"349","전농2동","동대문구",7644,2028,1106084,0.26530612244898
"350","정릉1동","성북구",7023,1999,1108062,0.284636195358109
"351","정릉2동","성북구",9611,2893,1108063,0.301009260222662
"352","정릉3동","성북구",7551,3663,1108064,0.485101311084625
"353","정릉4동","성북구",11046,3546,1108065,0.321021184139055
"354","제기동","동대문구",12724,6522,1106082,0.512574662055957
"355","조원동","관악구",10043,6023,1121072,0.599721198844967
"356","종로1.2.3.4가동","종로구",5329,4175,1101061,0.783449052355038
"357","종로5.6가동","종로구",3168,2074,1101063,0.654671717171717
"358","종암동","성북구",16971,6038,1108084,0.355783395203583
"359","중계1동","노원구",9130,1391,1111061,0.152354874041621
"360","중계2.3동","노원구",15499,4599,1111078,0.296728821214272
"361","중계4동","노원구",8428,2338,1111064,0.277408637873754
"362","중계본동","노원구",9232,2127,1111060,0.230394280762565
"363","중곡1동","광진구",7756,3524,1105055,0.454357916451779
"364","중곡2동","광진구",10209,4215,1105056,0.412870996179841
"365","중곡3동","광진구",8393,3709,1105057,0.441915882282855
"366","중곡4동","광진구",13181,4682,1105058,0.35520825430544
"367","중림동","중구",5686,2421,1102068,0.425782623988744
"368","중앙동","관악구",8832,5486,1121061,0.621150362318841
"369","중화1동","중랑구",8773,2970,1107061,0.33853869827881
"370","중화2동","중랑구",14262,7059,1107062,0.494951619688683
"371","증산동","은평구",6931,2381,1112067,0.343529072283942
"372","진관동","은평구",20075,5079,1112071,0.253001245330012
"373","창1동","도봉구",10900,3368,1110059,0.308990825688073
"374","창2동","도봉구",12363,3514,1110060,0.284235217989161
"375","창3동","도봉구",6648,2439,1110061,0.36687725631769
"376","창4동","도봉구",10553,2615,1110062,0.247796835023216
"377","창5동","도봉구",9890,2454,1110063,0.248129423660263
"378","창신1동","종로구",3022,1771,1101067,0.586035737921906
"379","창신2동","종로구",4228,1948,1101068,0.46073793755913
"380","창신3동","종로구",2878,842,1101069,0.292564280750521
"381","천연동","서대문구",8349,3331,1113052,0.398969936519344
"382","천호1동","강동구",12947,5018,1125061,0.387580134394068
"383","천호2동","강동구",17552,8182,1125073,0.466157702825889
"384","천호3동","강동구",13378,6134,1125063,0.45851397817312
"385","청구동","중구",6462,2440,1102072,0.377592076756422
"386","청담동","강남구",12157,4302,1123078,0.353870198239697
"387","청량리동","동대문구",10513,4789,1106080,0.45553124702749
"388","청룡동","관악구",17694,12209,1121080,0.690007912286651
"389","청림동","관악구",6600,1947,1121054,0.295
"390","청운효자동","종로구",5422,1923,1101072,0.354666174843231
"391","청파동","용산구",10573,5896,1103071,0.557646836281093
"392","충현동","서대문구",8793,4313,1113073,0.490503809848743
"393","평창동","종로구",7599,2479,1101056,0.326227135149362
"394","풍납1동","송파구",6867,2526,1124051,0.36784622105723
"395","풍납2동","송파구",10369,3692,1124052,0.356061336676632
"396","필동","중구",2259,1386,1102057,0.613545816733068
"397","하계1동","노원구",12365,4620,1111058,0.373635260816822
"398","하계2동","노원구",8347,1545,1111059,0.18509644183539
"399","한강로동","용산구",9347,5214,1103073,0.557826040440783
"400","한남동","용산구",10914,5902,1103074,0.540773318673264
"401","합정동","마포구",9618,4836,1114068,0.502807236431691
"402","행당1동","성동구",6352,2718,1104056,0.427896725440806
"403","행당2동","성동구",9469,2302,1104057,0.243109092829232
"404","행운동","관악구",16602,9856,1121057,0.5936634140465
"405","혜화동","종로구",9090,5267,1101073,0.579427942794279
"406","홍은1동","서대문구",9778,3225,1113066,0.329822049498875
"407","홍은2동","서대문구",12541,4687,1113068,0.373734151981501
"408","홍제1동","서대문구",9515,3136,1113062,0.329584866001051
"409","홍제2동","서대문구",5833,1632,1113065,0.279787416423796
"410","홍제3동","서대문구",7126,2582,1113064,0.362335110861633
"411","화곡1동","강서구",25509,11175,1116073,0.438080677407974
"412","화곡2동","강서구",8234,2679,1116057,0.325358270585378
"413","화곡3동","강서구",9108,2908,1116058,0.319279754062363
"414","화곡4동","강서구",9816,3493,1116059,0.355847595762021
"415","화곡6동","강서구",10918,4358,1116061,0.399157354826891
"416","화곡8동","강서구",11584,4115,1116063,0.35523135359116
"417","화곡본동","강서구",15937,6224,1116055,0.390537742360545
"418","화양동","광진구",15145,11579,1105053,0.764542753383955
"419","황학동","중구",6413,3356,1102067,0.52331202245439
"420","회기동","동대문구",5870,3680,1106071,0.626916524701874
"421","회현동","중구",3271,2232,1102054,0.682360134515439
"422","효창동","용산구",3734,1327,1103058,0.355382967327263
"423","후암동","용산구",8532,3901,1103051,0.457219878105954
"424","휘경1동","동대문구",6845,3793,1106072,0.554127100073046
"425","휘경2동","동대문구",11110,4893,1106073,0.44041404140414
"426","흑석동","동작구",12884,5127,1120071,0.397935423781434
